Code,Name,Message,Details,Parent_Group
ASYNC212,blocking-http-call-httpx-in-async-function,"Blocking httpx method {name}.{call}() in async context, use httpx.AsyncClient",🧪,ASYNC
ASYNC220,create-subprocess-in-async-function,Async functions should not create subprocesses with blocking methods,,ASYNC
ASYNC221,run-process-in-async-function,Async functions should not run processes with blocking methods,,ASYNC
ASYNC222,wait-for-process-in-async-function,Async functions should not wait on processes with blocking methods,,ASYNC
ASYNC230,blocking-open-call-in-async-function,Async functions should not open files with blocking methods like open,,ASYNC
ASYNC240,blocking-path-method-in-async-function,"Async functions should not use {path_library} methods, use trio.Path or anyio.path",🧪,ASYNC
ASYNC250,blocking-input-in-async-function,Blocking call to input() in async context,🧪,ASYNC
ASYNC251,blocking-sleep-in-async-function,Async functions should not call time.sleep,,ASYNC
S101,assert,Use of assert detected,,S
S102,exec-builtin,Use of exec detected,,S
S103,bad-file-permissions,os.chmod setting a permissive mask {mask:#o} on file or directory,,S
S104,hardcoded-bind-all-interfaces,Possible binding to all interfaces,,S
S105,hardcoded-password-string,"Possible hardcoded password assigned to: ""{}""",,S
S106,hardcoded-password-func-arg,"Possible hardcoded password assigned to argument: ""{}""",,S
S107,hardcoded-password-default,"Possible hardcoded password assigned to function default: ""{}""",,S
S108,hardcoded-temp-file,"Probable insecure usage of temporary file or directory: ""{}""",,S
S110,try-except-pass,"try-except-pass detected, consider logging the exception",,S
S112,try-except-continue,"try-except-continue detected, consider logging the exception",,S
S113,request-without-timeout,Probable use of {module} call without timeout,,S
S201,flask-debug-true,Use of debug=True in Flask app detected,,S
S202,tarfile-unsafe-members,Uses of tarfile.extractall(),,S
S301,suspicious-pickle-usage,"pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue",,S
S302,suspicious-marshal-usage,Deserialization with the marshal module is possibly dangerous,,S
S303,suspicious-insecure-hash-usage,"Use of insecure MD2, MD4, MD5, or SHA1 hash function",,S
S304,suspicious-insecure-cipher-usage,"Use of insecure cipher, replace with a known secure cipher such as AES",,S
S305,suspicious-insecure-cipher-mode-usage,"Use of insecure block cipher mode, replace with a known secure mode such as CBC or CTR",,S
S306,suspicious-mktemp-usage,Use of insecure and deprecated function (mktemp),,S
S307,suspicious-eval-usage,Use of possibly insecure function; consider using ast.literal_eval,,S
S308,suspicious-mark-safe-usage,Use of mark_safe may expose cross-site scripting vulnerabilities,,S
S310,suspicious-url-open-usage,Audit URL open for permitted schemes. Allowing use of file: or custom schemes is often unexpected.,,S
S311,suspicious-non-cryptographic-random-usage,Standard pseudo-random generators are not suitable for cryptographic purposes,,S
S312,suspicious-telnet-usage,Telnet is considered insecure. Use SSH or some other encrypted protocol.,,S
S313,suspicious-xmlc-element-tree-usage,Using xml to parse untrusted data is known to be vulnerable to XML attacks; use defusedxml equivalents,,S
S314,suspicious-xml-element-tree-usage,Using xml to parse untrusted data is known to be vulnerable to XML attacks; use defusedxml equivalents,,S
S315,suspicious-xml-expat-reader-usage,Using xml to parse untrusted data is known to be vulnerable to XML attacks; use defusedxml equivalents,,S
S316,suspicious-xml-expat-builder-usage,Using xml to parse untrusted data is known to be vulnerable to XML attacks; use defusedxml equivalents,,S
S317,suspicious-xml-sax-usage,Using xml to parse untrusted data is known to be vulnerable to XML attacks; use defusedxml equivalents,,S
S318,suspicious-xml-mini-dom-usage,Using xml to parse untrusted data is known to be vulnerable to XML attacks; use defusedxml equivalents,,S
S319,suspicious-xml-pull-dom-usage,Using xml to parse untrusted data is known to be vulnerable to XML attacks; use defusedxml equivalents,,S
S320,suspicious-xmle-tree-usage,Using lxml to parse untrusted data is known to be vulnerable to XML attacks,❌,S
S321,suspicious-ftp-lib-usage,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,,S
S323,suspicious-unverified-context-usage,Python allows using an insecure context via the _create_unverified_context that reverts to the previous behavior that does not validate certificates or perform hostname checks.,,S
S324,hashlib-insecure-hash-function,Probable use of insecure hash functions in {library}: {string},,S
S401,suspicious-telnetlib-import,telnetlib and related modules are considered insecure. Use SSH or another encrypted protocol.,🧪,S
S402,suspicious-ftplib-import,"ftplib and related modules are considered insecure. Use SSH, SFTP, SCP, or another encrypted protocol.",🧪,S
S403,suspicious-pickle-import,"pickle, cPickle, dill, and shelve modules are possibly insecure",🧪,S
S404,suspicious-subprocess-import,subprocess module is possibly insecure,🧪,S
S405,suspicious-xml-etree-import,xml.etree methods are vulnerable to XML attacks,🧪,S
S406,suspicious-xml-sax-import,xml.sax methods are vulnerable to XML attacks,🧪,S
S407,suspicious-xml-expat-import,xml.dom.expatbuilder is vulnerable to XML attacks,🧪,S
S408,suspicious-xml-minidom-import,xml.dom.minidom is vulnerable to XML attacks,🧪,S
S409,suspicious-xml-pulldom-import,xml.dom.pulldom is vulnerable to XML attacks,🧪,S
S410,suspicious-lxml-import,lxml is vulnerable to XML attacks,❌,S
S411,suspicious-xmlrpc-import,XMLRPC is vulnerable to remote XML attacks,🧪,S
S412,suspicious-httpoxy-import,"httpoxy is a set of vulnerabilities that affect application code running inCGI, or CGI-like environments. The use of CGI for web applications should be avoided",🧪,S
S413,suspicious-pycrypto-import,pycrypto library is known to have publicly disclosed buffer overflow vulnerability,🧪,S
S415,suspicious-pyghmi-import,An IPMI-related module is being imported. Prefer an encrypted protocol over IPMI.,🧪,S
S501,request-with-no-cert-validation,Probable use of {string} call with verify=False disabling SSL certificate checks,,S
S502,ssl-insecure-version,Call made with insecure SSL protocol: {protocol},,S
S503,ssl-with-bad-defaults,Argument default set to insecure SSL protocol: {protocol},,S
S504,ssl-with-no-version,ssl.wrap_socket called without an `ssl_version``,,S
S505,weak-cryptographic-key,{cryptographic_key} key sizes below {minimum_key_size} bits are considered breakable,,S
S506,unsafe-yaml-load,Probable use of unsafe loader {name} with yaml.load. Allows instantiation of arbitrary objects. Consider yaml.safe_load.,,S
S507,ssh-no-host-key-verification,Paramiko call with policy set to automatically trust the unknown host key,,S
S508,snmp-insecure-version,The use of SNMPv1 and SNMPv2 is insecure. Use SNMPv3 if able.,,S
S509,snmp-weak-cryptography,You should not use SNMPv3 without encryption. noAuthNoPriv & authNoPriv is insecure.,,S
S601,paramiko-call,Possible shell injection via Paramiko call; check inputs are properly sanitized,,S
S602,subprocess-popen-with-shell-equals-true,"subprocess call with shell=True seems safe, but may be changed in the future; consider rewriting without shell",,S
S603,subprocess-without-shell-equals-true,subprocess call: check for execution of untrusted input,,S
S604,call-with-shell-equals-true,"Function call with shell=True parameter identified, security issue",,S
S605,start-process-with-a-shell,"Starting a process with a shell: seems safe, but may be changed in the future; consider rewriting without shell",,S
S606,start-process-with-no-shell,Starting a process without a shell,,S
S607,start-process-with-partial-path,Starting a process with a partial executable path,,S
S608,hardcoded-sql-expression,Possible SQL injection vector through string-based query construction,,S
S609,unix-command-wildcard-injection,Possible wildcard injection in call due to * usage,,S
S610,django-extra,Use of Django extra can lead to SQL injection vulnerabilities,,S
S611,django-raw-sql,Use of RawSQL can lead to SQL injection vulnerabilities,,S
S612,logging-config-insecure-listen,Use of insecure logging.config.listen detected,,S
S701,jinja2-autoescape-false,Using jinja2 templates with autoescape=False is dangerous and can lead to XSS. Ensure autoescape=True or use the select_autoescape function.,,S
S702,mako-templates,Mako templates allow HTML and JavaScript rendering by default and are inherently open to XSS attacks,,S
S704,unsafe-markup-use,Unsafe use of {name} detected,,S
BLE001,blind-except,Do not catch blind exception: {name},,BLE
FBT001,boolean-type-hint-positional-argument,Boolean-typed positional argument in function definition,,FBT
FBT002,boolean-default-value-positional-argument,Boolean default positional argument in function definition,,FBT
FBT003,boolean-positional-value-in-call,Boolean positional value in function call,,FBT
B002,unary-prefix-increment-decrement,Python does not support the unary prefix increment operator (++),,B
B003,assignment-to-os-environ,Assigning to os.environ doesn't clear the environment,,B
B004,unreliable-callable-check,"Using hasattr(x, ""__call__"") to test if x is callable is unreliable. Use callable(x) for consistent results.",🛠️,B
B005,strip-with-multi-characters,Using .strip() with multi-character strings is misleading,,B
B006,mutable-argument-default,Do not use mutable data structures for argument defaults,🛠️,B
B007,unused-loop-control-variable,Loop control variable {name} not used within loop body,🛠️,B
B008,function-call-in-default-argument,"Do not perform function call {name} in argument defaults; instead, perform the call within the function, or read the default from a module-level singleton variable",,B
B009,get-attr-with-constant,Do not call getattr with a constant attribute value. It is not any safer than normal property access.,🛠️,B
B010,set-attr-with-constant,Do not call setattr with a constant attribute value. It is not any safer than normal property access.,🛠️,B
B011,assert-false,"Do not assert False (python -O removes these calls), raise AssertionError()",🛠️,B
B012,jump-statement-in-finally,{name} inside finally blocks cause exceptions to be silenced,,B
B013,redundant-tuple-in-exception-handler,A length-one tuple literal is redundant in exception handlers,🛠️,B
B014,duplicate-handler-exception,Exception handler with duplicate exception: {name},🛠️,B
B015,useless-comparison,"Pointless comparison. Did you mean to assign a value? Otherwise, prepend assert or remove it.",,B
B016,raise-literal,Cannot raise a literal. Did you intend to return it or raise an Exception?,,B
B017,assert-raises-exception,Do not assert blind exception: {exception},,B
B018,useless-expression,Found useless expression. Either assign it to a variable or remove it.,,B
B019,cached-instance-method,Use of functools.lru_cache or functools.cache on methods can lead to memory leaks,,B
B020,loop-variable-overrides-iterator,Loop control variable {name} overrides iterable it iterates,,B
B021,f-string-docstring,"f-string used as docstring. Python will interpret this as a joined string, rather than a docstring.",,B
B022,useless-contextlib-suppress,No arguments passed to contextlib.suppress. No exceptions will be suppressed and therefore this context manager is redundant,,B
B023,function-uses-loop-variable,Function definition does not bind loop variable {name},,B
B024,abstract-base-class-without-abstract-method,"{name} is an abstract base class, but it has no abstract methods or properties",,B
B025,duplicate-try-block-exception,try-except* block with duplicate exception {name},,B
B026,star-arg-unpacking-after-keyword-arg,Star-arg unpacking after a keyword argument is strongly discouraged,,B
B027,empty-method-without-abstract-decorator,"{name} is an empty method in an abstract base class, but has no abstract decorator",,B
B028,no-explicit-stacklevel,No explicit stacklevel keyword argument found,🛠️,B
B029,except-with-empty-tuple,Using except* (): with an empty tuple does not catch anything; add exceptions to handle,,B
B030,except-with-non-exception-classes,except* handlers should only be exception classes or tuples of exception classes,,B
B031,reuse-of-groupby-generator,Using the generator returned from itertools.groupby() more than once will do nothing on the second usage,,B
B032,unintentional-type-annotation,Possible unintentional type annotation (using :). Did you mean to assign (using =)?,,B
B033,duplicate-value,Sets should not contain duplicate item {value},🛠️,B
B034,re-sub-positional-args,{method} should pass {param_name} and flags as keyword arguments to avoid confusion due to unintuitive argument positions,,B
B035,static-key-dict-comprehension,Dictionary comprehension uses static key: {key},,B
B039,mutable-contextvar-default,Do not use mutable data structures for ContextVar defaults,,B
B901,return-in-generator,Using yield and return {value} in a generator function can lead to confusing behavior,🧪,B
B903,class-as-data-structure,Class could be dataclass or namedtuple,🧪,B
B904,raise-without-from-inside-except,"Within an except* clause, raise exceptions with raise ... from err or raise ... from None to distinguish them from errors in exception handling",,B
B905,zip-without-explicit-strict,zip() without an explicit strict= parameter,🛠️,B
B909,loop-iterator-mutation,Mutation to loop iterable {name} during iteration,🧪,B
B911,batched-without-explicit-strict,itertools.batched() without an explicit strict parameter,,B
B912,map-without-explicit-strict,map() without an explicit strict= parameter,🧪🛠️,B
A001,builtin-variable-shadowing,Variable {name} is shadowing a Python builtin,,A
A002,builtin-argument-shadowing,Function argument {name} is shadowing a Python builtin,,A
A003,builtin-attribute-shadowing,Python builtin is shadowed by class attribute {name} from {row},,A
A004,builtin-import-shadowing,Import {name} is shadowing a Python builtin,,A
A005,stdlib-module-shadowing,Module {name} shadows a Python standard-library module,,A
A006,builtin-lambda-argument-shadowing,Lambda argument {name} is shadowing a Python builtin,,A
COM812,missing-trailing-comma,Trailing comma missing,🛠️,COM
COM818,trailing-comma-on-bare-tuple,Trailing comma on bare tuple prohibited,,COM
COM819,prohibited-trailing-comma,Trailing comma prohibited,🛠️,COM
C400,unnecessary-generator-list,Unnecessary generator (rewrite using list()),🛠️,C
C401,unnecessary-generator-set,Unnecessary generator (rewrite using set()),🛠️,C
C402,unnecessary-generator-dict,Unnecessary generator (rewrite as a dict comprehension),🛠️,C
C403,unnecessary-list-comprehension-set,Unnecessary list comprehension (rewrite as a set comprehension),🛠️,C
C404,unnecessary-list-comprehension-dict,Unnecessary list comprehension (rewrite as a dict comprehension),🛠️,C
C405,unnecessary-literal-set,Unnecessary {kind} literal (rewrite as a set literal),🛠️,C
C406,unnecessary-literal-dict,Unnecessary {obj_type} literal (rewrite as a dict literal),🛠️,C
C408,unnecessary-collection-call,Unnecessary {kind}() call (rewrite as a literal),🛠️,C
C409,unnecessary-literal-within-tuple-call,Unnecessary list literal passed to tuple() (rewrite as a tuple literal),🛠️,C
C410,unnecessary-literal-within-list-call,Unnecessary list literal passed to list() (remove the outer call to list()),🛠️,C
C411,unnecessary-list-call,Unnecessary list() call (remove the outer call to list()),🛠️,C
C413,unnecessary-call-around-sorted,Unnecessary {func}() call around sorted(),🛠️,C
C414,unnecessary-double-cast-or-process,Unnecessary {inner}() call within {outer}(),🛠️,C
C415,unnecessary-subscript-reversal,Unnecessary subscript reversal of iterable within {func}(),,C
C416,unnecessary-comprehension,Unnecessary {kind} comprehension (rewrite using {kind}()),🛠️,C
C417,unnecessary-map,Unnecessary map() usage (rewrite using a {object_type}),🛠️,C
C418,unnecessary-literal-within-dict-call,Unnecessary dict {kind} passed to dict() (remove the outer call to dict()),🛠️,C
C419,unnecessary-comprehension-in-call,Unnecessary list comprehension,🛠️,C
C420,unnecessary-dict-comprehension-for-iterable,Unnecessary dict comprehension for iterable; use dict.fromkeys instead,🛠️,C
CPY001,missing-copyright-notice,Missing copyright notice at top of file,🧪,CPY
DTZ001,call-datetime-without-tzinfo,datetime.datetime() called without a tzinfo argument,,DTZ
DTZ002,call-datetime-today,datetime.datetime.today() used,,DTZ
DTZ003,call-datetime-utcnow,datetime.datetime.utcnow() used,,DTZ
DTZ004,call-datetime-utcfromtimestamp,datetime.datetime.utcfromtimestamp() used,,DTZ
DTZ005,call-datetime-now-without-tzinfo,datetime.datetime.now() called without a tz argument,,DTZ
DTZ006,call-datetime-fromtimestamp,datetime.datetime.fromtimestamp() called without a tz argument,,DTZ
DTZ007,call-datetime-strptime-without-zone,Naive datetime constructed using datetime.datetime.strptime() without %z,,DTZ
DTZ011,call-date-today,datetime.date.today() used,,DTZ
DTZ012,call-date-fromtimestamp,datetime.date.fromtimestamp() used,,DTZ
DTZ901,datetime-min-max,Use of datetime.datetime.{min_max} without timezone information,,DTZ
T100,debugger,Trace found: {name} used,,T
DJ001,django-nullable-model-string-field,Avoid using null=True on string-based fields such as {field_name},,DJ
DJ003,django-locals-in-render-function,Avoid passing locals() as context to a render function,,DJ
DJ006,django-exclude-with-model-form,"Do not use exclude with ModelForm, use fields instead",,DJ
DJ007,django-all-with-model-form,"Do not use __all__ with ModelForm, use fields instead",,DJ
DJ008,django-model-without-dunder-str,Model does not define __str__ method,,DJ
DJ012,django-unordered-body-content-in-model,"Order of model's inner classes, methods, and fields does not follow the Django Style Guide: {element_type} should come before {prev_element_type}",,DJ
DJ013,django-non-leading-receiver-decorator,@receiver decorator must be on top of all the other decorators,,DJ
EM101,raw-string-in-exception,"Exception must not use a string literal, assign to variable first",🛠️,EM
EM102,f-string-in-exception,"Exception must not use an f-string literal, assign to variable first",🛠️,EM
EM103,dot-format-in-exception,"Exception must not use a .format() string directly, assign to variable first",🛠️,EM
EXE001,shebang-not-executable,Shebang is present but file is not executable,,EXE
EXE002,shebang-missing-executable-file,The file is executable but no shebang is present,,EXE
EXE003,shebang-missing-python,"Shebang should contain python, pytest, or uv run",,EXE
EXE004,shebang-leading-whitespace,Avoid whitespace before shebang,🛠️,EXE
EXE005,shebang-not-first-line,Shebang should be at the beginning of the file,,EXE
FIX001,line-contains-fixme,"Line contains FIXME, consider resolving the issue",,FIX
FIX002,line-contains-todo,"Line contains TODO, consider resolving the issue",,FIX
FIX003,line-contains-xxx,"Line contains XXX, consider resolving the issue",,FIX
FIX004,line-contains-hack,"Line contains HACK, consider resolving the issue",,FIX
FA100,future-rewritable-type-annotation,Add from __future__ import annotations to simplify {name},🛠️,FA
FA102,future-required-type-annotation,"Missing from __future__ import annotations, but uses {reason}",🛠️,FA
INT001,f-string-in-get-text-func-call,"f-string is resolved before function call; consider _(""string %s"") % arg",,INT
INT002,format-in-get-text-func-call,"format method argument is resolved before function call; consider _(""string %s"") % arg",,INT
INT003,printf-in-get-text-func-call,"printf-style format is resolved before function call; consider _(""string %s"") % arg",,INT
ISC001,single-line-implicit-string-concatenation,Implicitly concatenated string literals on one line,🛠️,ISC
ISC002,multi-line-implicit-string-concatenation,Implicitly concatenated string literals over multiple lines,,ISC
ISC003,explicit-string-concatenation,Explicitly concatenated string should be implicitly concatenated,🛠️,ISC
ICN001,unconventional-import-alias,{name} should be imported as {asname},🛠️,ICN
ICN002,banned-import-alias,{name} should not be imported as {asname},,ICN
ICN003,banned-import-from,Members of {name} should not be imported explicitly,,ICN
LOG001,direct-logger-instantiation,Use logging.getLogger() to instantiate loggers,🛠️,LOG
LOG002,invalid-get-logger-argument,Use __name__ with logging.getLogger(),🛠️,LOG
LOG004,log-exception-outside-except-handler,.exception() call outside exception handlers,🧪🛠️,LOG
LOG007,exception-without-exc-info,Use of logging.exception with falsy exc_info,,LOG
LOG009,undocumented-warn,Use of undocumented logging.WARN constant,🛠️,LOG
LOG014,exc-info-outside-except-handler,exc_info= outside exception handlers,🛠️,LOG
LOG015,root-logger-call,{}() call on root logger,,LOG
G001,logging-string-format,Logging statement uses str.format,,G
G002,logging-percent-format,Logging statement uses %,,G
G003,logging-string-concat,Logging statement uses +,,G
G004,logging-f-string,Logging statement uses f-string,🛠️,G
G010,logging-warn,Logging statement uses warn instead of warning,🛠️,G
G101,logging-extra-attr-clash,Logging statement uses an extra field that clashes with a LogRecord field: {key},,G
G201,logging-exc-info,"Logging .exception(...) should be used instead of .error(..., exc_info=True)",,G
G202,logging-redundant-exc-info,Logging statement has redundant exc_info,,G
INP001,implicit-namespace-package,File {filename} is part of an implicit namespace package. Add an __init__.py.,,INP
PIE790,unnecessary-placeholder,Unnecessary pass statement,🛠️,PIE
PIE794,duplicate-class-field-definition,Class field {name} is defined multiple times,🛠️,PIE
PIE796,non-unique-enums,Enum contains duplicate value: {value},,PIE
PIE800,unnecessary-spread,Unnecessary spread **,🛠️,PIE
PIE804,unnecessary-dict-kwargs,Unnecessary dict kwargs,🛠️,PIE
PIE807,reimplemented-container-builtin,Prefer {container} over useless lambda,🛠️,PIE
PIE808,unnecessary-range-start,Unnecessary start argument in range,🛠️,PIE
PIE810,multiple-starts-ends-with,Call {attr} once with a tuple,🛠️,PIE
T201,print,print found,🛠️,T
T203,p-print,pprint found,🛠️,T
PYI001,unprefixed-type-param,Name of private {kind} must start with _,,PYI
PYI002,complex-if-statement-in-stub,if test must be a simple comparison against sys.platform or sys.version_info,,PYI
PYI003,unrecognized-version-info-check,Unrecognized sys.version_info check,,PYI
PYI004,patch-version-comparison,Version comparison must use only major and minor version,,PYI
PYI005,wrong-tuple-length-version-comparison,Version comparison must be against a length-{expected_length} tuple,,PYI
PYI006,bad-version-info-comparison,Use < or >= for sys.version_info comparisons,,PYI
PYI007,unrecognized-platform-check,Unrecognized sys.platform check,,PYI
PYI008,unrecognized-platform-name,Unrecognized platform {platform},,PYI
PYI009,pass-statement-stub-body,"Empty body should contain ..., not pass",🛠️,PYI
PYI010,non-empty-stub-body,Function body must contain only ...,🛠️,PYI
PYI011,typed-argument-default-in-stub,Only simple default values allowed for typed arguments,🛠️,PYI
PYI012,pass-in-class-body,Class body must not contain pass,🛠️,PYI
PYI013,ellipsis-in-non-empty-class-body,Non-empty class body must not contain ...,🛠️,PYI
PYI014,argument-default-in-stub,Only simple default values allowed for arguments,🛠️,PYI
PYI015,assignment-default-in-stub,Only simple default values allowed for assignments,🛠️,PYI
PYI016,duplicate-union-member,Duplicate union member {},🛠️,PYI
PYI017,complex-assignment-in-stub,Stubs should not contain assignments to attributes or multiple targets,,PYI
PYI018,unused-private-type-var,Private {type_var_like_kind} {type_var_like_name} is never used,🛠️,PYI
PYI019,custom-type-var-for-self,Use Self instead of custom TypeVar {},🛠️,PYI
PYI020,quoted-annotation-in-stub,Quoted annotations should not be included in stubs,🛠️,PYI
PYI021,docstring-in-stub,Docstrings should not be included in stubs,🛠️,PYI
PYI024,collections-named-tuple,Use typing.NamedTuple instead of collections.namedtuple,,PYI
PYI025,unaliased-collections-abc-set-import,Use from collections.abc import Set as AbstractSet to avoid confusion with the set builtin,🛠️,PYI
PYI026,type-alias-without-annotation,"Use {module}.TypeAlias for type alias, e.g., {name}: TypeAlias = {value}",🛠️,PYI
PYI029,str-or-repr-defined-in-stub,Defining {name} in a stub is almost always redundant,🛠️,PYI
PYI030,unnecessary-literal-union,"Multiple literal members in a union. Use a single literal, e.g. Literal[{}]",🛠️,PYI
PYI032,any-eq-ne-annotation,Prefer object to Any for the second parameter to {method_name},🛠️,PYI
PYI033,type-comment-in-stub,Don't use type comments in stub file,,PYI
PYI034,non-self-return-type,__new__ methods usually return self at runtime,🛠️,PYI
PYI035,unassigned-special-variable-in-stub,"{name} in a stub file must have a value, as it has the same semantics as {name} at runtime",,PYI
PYI036,bad-exit-annotation,Star-args in {method_name} should be annotated with object,🛠️,PYI
PYI041,redundant-numeric-union,Use {supertype} instead of {subtype} | {supertype},🛠️,PYI
PYI042,snake-case-type-alias,Type alias {name} should be CamelCase,,PYI
PYI043,t-suffixed-type-alias,Private type alias {name} should not be suffixed with T (the T suffix implies that an object is a TypeVar),,PYI
PYI044,future-annotations-in-stub,"from __future__ import annotations has no effect in stub files, since type checkers automatically treat stubs as having those semantics",🛠️,PYI
PYI045,iter-method-return-iterable,"__aiter__ methods should return an AsyncIterator, not an AsyncIterable",,PYI
PYI046,unused-private-protocol,Private protocol {name} is never used,,PYI
PYI047,unused-private-type-alias,Private TypeAlias {name} is never used,,PYI
PYI048,stub-body-multiple-statements,Function body must contain exactly one statement,,PYI
PYI049,unused-private-typed-dict,Private TypedDict {name} is never used,,PYI
PYI050,no-return-argument-annotation-in-stub,Prefer {module}.Never over NoReturn for argument annotations,,PYI
PYI051,redundant-literal-union,Literal[{literal}] is redundant in a union with {builtin_type},,PYI
PYI052,unannotated-assignment-in-stub,Need type annotation for {name},,PYI
PYI053,string-or-bytes-too-long,String and bytes literals longer than 50 characters are not permitted,🛠️,PYI
PYI054,numeric-literal-too-long,Numeric literals with a string representation longer than ten characters are not permitted,🛠️,PYI
PYI055,unnecessary-type-union,"Multiple type members in a union. Combine them into one, e.g., type[{union_str}].",🛠️,PYI
PYI056,unsupported-method-call-on-all,Calling .{name}() on __all__ may not be supported by all type checkers (use += instead),,PYI
PYI057,byte-string-usage,"Do not use {origin}.ByteString, which has unclear semantics and is deprecated",,PYI
PYI058,generator-return-from-iter-method,Use {return_type} as the return value for simple {method} methods,🛠️,PYI
PYI059,generic-not-last-base-class,Generic[] should always be the last base class,🛠️,PYI
PYI061,redundant-none-literal,Use None rather than Literal[None],🛠️,PYI
PYI062,duplicate-literal-member,Duplicate literal member {},🛠️,PYI
PYI063,pep484-style-positional-only-parameter,Use PEP 570 syntax for positional-only parameters,,PYI
PYI064,redundant-final-literal,Final[Literal[{literal}]] can be replaced with a bare Final,🛠️,PYI
PYI066,bad-version-info-order,Put branches for newer Python versions first when branching on sys.version_info comparisons,,PYI
PT001,pytest-fixture-incorrect-parentheses-style,Use @pytest.fixture{expected} over @pytest.fixture{actual},🛠️,PT
PT002,pytest-fixture-positional-args,"Configuration for fixture {function} specified via positional args, use kwargs",,PT
PT003,pytest-extraneous-scope-function,scope='function' is implied in @pytest.fixture(),🛠️,PT
PT004,pytest-missing-fixture-name-underscore,"Fixture {function} does not return anything, add leading underscore",❌,PT
PT005,pytest-incorrect-fixture-name-underscore,"Fixture {function} returns a value, remove leading underscore",❌,PT
PT006,pytest-parametrize-names-wrong-type,Wrong type passed to first argument of pytest.mark.parametrize; expected {expected_string},🛠️,PT
PT007,pytest-parametrize-values-wrong-type,Wrong values type in pytest.mark.parametrize expected {values} of {row},🛠️,PT
PT008,pytest-patch-with-lambda,Use return_value= instead of patching with lambda,,PT
